PART_NO,VILLAGE,SECTION_NO,SECTION_ADDRESS
101,Guda Jatan,6,"Meghavalo Ka Mohalla ,Guda Jatan"
101,Guda Jatan,7,"Mataji Ka Phalsa ,Guda Jatan"
101,Guda Jatan,8,"Bera Nava Arat ,Guda Jatan"
101,Guda Jatan,9,"Rangasvamiyo Ka Mohalla ,Guda Jatan"
101,Guda Jatan,10,"Mandigadh Road Par ,Guda Jatan"
101,Guda Jatan,11,"Aakharia Chowk ,Guda Jatan"
101,Guda Jatan,12,"Mataji Mandir Ke Pas ,Guda Jatan"
101,Guda Jatan,13,"Khera Devi Road ,Guda Jatan"
101,Guda Jatan,14,"Bera Gudara,Guda Jatan"
101,Guda Jatan,15,"Bera Hurdovala ,Guda Jatan"
101,Guda Jatan,16,"Jaton Ki Dhani ,Guda Jatan"
101,Guda Jatan,17,"Bera Udava ,Guda Jatan"
101,Guda Jatan,18,"Bera Varava ,Guda Jatan"
101,Guda Jatan,19,"Bera Kaldiyavala ,Guda Jatan"
101,Guda Jatan,20,"Bera Mataji Wala ,Guda Jatan"
101,Guda Jatan,21,"Bera Vada Arat ,Guda Jatan"
101,Guda Jatan,22,"Bera Baduaa ,Guda Jatan"
102,Guda Sutharan,1,"Meghwalon Ka Bas ,Guda Sutharan"
102,Guda Sutharan,2,"Maliyo Ki Pol ,Guda Sutharan"
102,Guda Sutharan,3,"Meghwalon Ki Gali ,Guda Sutharan"
102,Guda Sutharan,4,"Jogiyon Ki Gali ,Guda Sutharan"
102,Guda Sutharan,5,"Desuri Road ,Guda Sutharan"
102,Guda Sutharan,6,"Kumharon Ki Gali ,Guda Sutharan"
102,Guda Sutharan,7,"Ghanchiyo Ki Gali ,Guda Sutharan"
102,Guda Sutharan,8,"Gaon Ka Chouraha ,Guda Sutharan"
102,Guda Sutharan,9,"Charabhuja Gali ,Guda Sutharan"
102,Guda Sutharan,10,"Charabhuja Mandir ,Guda Sutharan"
102,Guda Sutharan,11,"Mataji Ki Gali ,Guda Sutharan"
102,Guda Sutharan,12,"Khetalaji Ka Vas ,Guda Sutharan"
102,Guda Sutharan,13,"Mataji Ka Vas ,Guda Sutharan"
102,Guda Sutharan,14,"Akhariya Chowk Hanuman ,Guda Sutharan"
102,Guda Sutharan,15,"Rebariyon Ka Vas ,Guda Sutharan"
102,Guda Sutharan,16,"School Ke Pas ,Guda Sutharan"
103,Muthana,1,"Am Chouhata ,Muthana"
103,Muthana,2,"Raikon Ki Gali ,Muthana"
103,Muthana,3,"Meghwalon Ke Ghar ,Muthana"
103,Muthana,4,"Guda Mangaliyan Ka Rasta ,Muthana"
103,Muthana,5,Muthana
104,Morkha,1,"Bera Saragara Wala ,Morakha"
104,Morkha,2,"Meghwalon Ka Vas ,Morakha"
104,Morkha,3,"Bera Dhimada V Choudhariyon Ka Vas ,Morakha"
104,Morkha,4,"Rebari Vas ,Morakha"
104,Morkha,5,"Choudhariyon Ka Vas ,Morakha"
104,Morkha,6,"Purohiton Ka Vas ,Morakha"
104,Morkha,7,"Dhand Vali Gali ,Morakha"
104,Morkha,8,"Ravla Vas ,Morakha"
105,Morkha,1,"Purohiton Ka Vas ,Morakha"
105,Morkha,2,"Mukhya Marg ,Morakha"
105,Morkha,3,"Dahiyon Ka Vas ,Morakha"
105,Morkha,4,"Naiyon Ka Vas ,Morakha"
105,Morkha,5,"Akhariya ,Morakha"
105,Morkha,6,"Bera Dolatava ,Morakha"
105,Morkha,7,"Sindrali Road ,Morakha"
105,Morkha,8,"Bera Tajakiya ,Morakha"
105,Morkha,9,"Bera Pipaliyan ,Morakha"
105,Morkha,10,Morkha
106,Bhitwara,1,"Bera Mahadevaji ,Bhitavada"
106,Bhitwara,2,"Bera Jat Rani Road ,Bhitavada"
106,Bhitwara,3,"Ravla Mohalla ,Bhitavada"
106,Bhitwara,4,"Bera Hanumanaji ,Bhitavada"
106,Bhitwara,5,"Bada Arat ,Bhitavada"
106,Bhitwara,6,"Bera Khajur ,Bhitavada"
106,Bhitwara,7,"Naiyo Ka Bas ,Bhitavada"
106,Bhitwara,8,"Meghwalon Ka Vas ,Bhitavada"
106,Bhitwara,9,"Hiragaro Ka Vas ,Bhitavada"
106,Bhitwara,10,"Am Chouhata-1 ,Bhitavada"
106,Bhitwara,11,"Charabhuja Gali-1 ,Bhitavada"
106,Bhitwara,12,"Sarathur Marg ,Bhitavada"
106,Bhitwara,13,"Bhagi Bavadi ,Bhitavada"
106,Bhitwara,14,"Dhimada ,Bhitavada"
106,Bhitwara,15,"Char Bhuja Gali-2 ,Bhitavada"
106,Bhitwara,16,"Pechaka Ke Pas ,Bhitavada"
106,Bhitwara,17,"Am Chouhata-2 ,Bhitavada"
106,Bhitwara,18,"School Ke Pas ,Bhitavada"
106,Bhitwara,19,"Pahadi Ke Pas ,Bhitavada"
107,Bhitwara,1,"School Road, ,Bhitavada"
107,Bhitwara,2,"Mahadev Gali ,Bhitavada"
107,Bhitwara,3,"Dalavato Ka Bas ,Bhitavada"
107,Bhitwara,4,"Am Chouraya ,Bhitavada"
107,Bhitwara,5,"Pemavato Ka Bas ,Bhitavada"
107,Bhitwara,6,"Thakur Ji Ki Gali ,Bhitavada"
107,Bhitwara,7,"Rani Marg ,Bhitavada"
107,Bhitwara,8,"Rabari Mohalla-1 ,Bhitavada"
107,Bhitwara,9,"Bera Bhandariya ,Bhitavada"
107,Bhitwara,10,"Bera Jipava ,Bhitavada"
107,Bhitwara,11,"Bera Badoud Wala ,Bhitavada"
107,Bhitwara,12,"Bera Naya Jipava ,Bhitavada"
107,Bhitwara,13,"Rabari Mohalla-2 ,Bhitavada"
107,Bhitwara,14,"Rani Road-1 ,Bhitavada"
107,Bhitwara,15,"Rani Road-2 ,Bhitavada"
108,Dantiwara,1,"Rajputon Ki Gali ,Dantivada"
108,Dantiwara,2,"Raiko Ki Gali ,Dantivada"
108,Dantiwara,3,"Choudhariyo Ka Bas ,Dantivada"
108,Dantiwara,4,"Am Chouraha ,Dantivada"
108,Dantiwara,5,"Meghwalon Ka Bas ,Dantivada"
108,Dantiwara,6,"Guruon Ka Bas ,Dantivada"
108,Dantiwara,7,"Hiragaro Ka Bas ,Dantivada"
108,Dantiwara,8,"Gudariya Dhal ,Dantivada"
109,DANTIWARA,1,"Bera Koteriya ,Dantivada"
109,DANTIWARA,2,"Bali Road Par ,Dantivada"
109,DANTIWARA,3,"Sanava Bera ,Dantivada"
109,DANTIWARA,4,"Saragaro Ka Bera ,Dantivada"
109,DANTIWARA,5,"Naya Bera ,Dantivada"
109,DANTIWARA,6,"Jogiyo Ka Bas ,Dantivada"
109,DANTIWARA,7,"Jodhamaharaj Ki Jhupi ,Dantivada"
110,Chamunderi Mertiyan,1,"Dhani Rasta ,Chamunderi Medatiyan"
110,Chamunderi Mertiyan,2,"Kerapura Rasta ,Chamunderi Medatiyan"
110,Chamunderi Mertiyan,3,"Meghavalo Ka Bas ,Chamunderi Medatiyan"
110,Chamunderi Mertiyan,4,"Hiragaro Ka Bas ,Chamunderi Medatiyan"
110,Chamunderi Mertiyan,5,"Akhariyan ,Chamunderi Medatiyan"
110,Chamunderi Mertiyan,6,"Maliyo Ka Bas ,Chamunderi Medatiyan"
110,Chamunderi Mertiyan,7,"Hanuman Mandir Ke Samne ,Chamunderi Medatiyan"
110,Chamunderi Mertiyan,8,"Chohata ,Chamunderi Medatiyan"
110,Chamunderi Mertiyan,9,"Rabariyano Ka Bas ,Chamunderi Medatiyan"
110,Chamunderi Mertiyan,10,"Thakur Ji Mandir Ke Samne ,Kagadi"
110,Chamunderi Mertiyan,11,"Bayosa Mandir Ke Pas V Dativada Rasta ,Kagadi"
110,Chamunderi Mertiyan,12,"School Ke Pas ,Kagadi"
110,Chamunderi Mertiyan,13,"Karalai ,Karalai"
111,Shrisela,1,"Rajputon Ka Bas ,Shri Selaganv"
111,Shrisela,2,"School Ke Pichhe Ki Basti ,Shrisela Dhani"
112,Shrisela,1,"Maliyo Ka Bas ,Shrisela Dhani"
112,Shrisela,2,"Rebariyo Ka Bas ,Shrisela Dhani"
112,Shrisela,3,"Meghwalo Ka Bas ,Shrisela Dhani"
113,Dhani,1,"Rani Falna Road-1 ,Dhani"
113,Dhani,2,"Shiv colony ,Dhani"
113,Dhani,3,"Raiko Ki Dhani ,Dhani"
113,Dhani,4,"Rani Falna Road-2 ,Dhani"
113,Dhani,5,"Meghwal Mohalla Bayosa Road ,Dhani"
113,Dhani,6,"Indira colony Road Megh. Mohalla ,Dhani"
113,Dhani,7,"Bayosa Road Meghwal Mohalla ,Dhani"
113,Dhani,8,"Indira colony ,Dhani"
113,Dhani,9,"Alakhaji Ka Chowk ,Dhani"
113,Dhani,10,"Bayosa Chowk ,Dhani"
113,Dhani,11,"Rajputon Ka Bas ,Dhani"
113,Dhani,12,"Chhipo Ki Gali-1 ,Dhani"
113,Dhani,13,"Sutharo Ka Bas ,Dhani"
113,Dhani,14,"Chhipo Ki Gali-2 ,Dhani"
113,Dhani,15,"Hanumanaji Ki Gali ,Dhani"
114,Dhani,1,"Devasiyon Ka Bas-1 ,Dhani"
114,Dhani,2,"Mukhya Bazar Road ,Dhani"
114,Dhani,3,"Maliyo Ka Bas-1 ,Dhani"
114,Dhani,4,"Devasiyo Ka Bas-2 ,Dhani"
114,Dhani,5,"Maliyo Ka Bas-2 ,Dhani"
114,Dhani,6,"Gadoliya Luharo Ka Bas ,Dhani"
114,Dhani,7,"Choudhariyo Ka Bas ,Dhani"
114,Dhani,8,"Rani Road ,Dhani"
114,Dhani,9,"Mukhya Bazar V Choudhariyo Ka Bas ,Dhani"
114,Dhani,10,"Luharo Ka Bas ,Dhani"
114,Dhani,11,"Gogaji Ki Gali ,Dhani"
114,Dhani,12,"Rajputon Ka Bas ,Dhani"
114,Dhani,13,"Ghisaram Ka Kuwa Kathavaji Road Kuwa ,Dhani"
114,Dhani,14,"Bali Road ,Dhani"
115,Khudala Falna Station,1,"Talab Ki Pal , Ward No. 17 Khudala Falna"
115,Khudala Falna Station,2,"Sutharo Ka Vas , Ward No. 17 Khudala Falna"
115,Khudala Falna Station,3,"Dhobiyo Ka Vas , Ward No. 17 Khudala Falna"
115,Khudala Falna Station,4,"Meno Ki Choki , Ward No. 17 Khudala Falna"
115,Khudala Falna Station,5,"Brahamano Ka Vas ,Ward No. 17 Khudala Falna"
115,Khudala Falna Station,6,"Nava Pura , Ward No. 17 Khudala Falna"
115,Khudala Falna Station,7,"Bavadi Vali Vas , Ward No. 17 Khudala Falna"
115,Khudala Falna Station,8,"Bavadi Vel , Ward No. 17 Khudala Falna"
115,Khudala Falna Station,9,"Kumharo Ka Vas , Ward No. 14 Khudala Falna"
115,Khudala Falna Station,10,"Bera Bhilava V Kumharon Ka Bas ,Ward No. 14 Khudala Falna"
115,Khudala Falna Station,11,"Bera Nokara badi ,Ward No. 22 Khudala Falna"
115,Khudala Falna Station,12,"Bag Vali Ka Vas ,Ward No. 17 Khudala Falna Ward San. 18"
115,Khudala Falna Station,13,"Ravla Chowk ,Ward No. 17 Khudala Falna Ward San. 18"
115,Khudala Falna Station,14,"Bhomiyon Ka Vas Ward No. 17 ,Khudala Falna"
115,Khudala Falna Station,15,"Sevako Ka Vas Ward No. 17 ,Khudala Falna"
115,Khudala Falna Station,16,"Purohiton Ka Vas Ward No. 22 ,Khudala Falna"
115,Khudala Falna Station,17,"Naiyon Ka Vas Ward No. 16 ,Khudala Falna"
115,Khudala Falna Station,18,"Javalo Ka Vas Ward No. 22 ,Khudala Falna"
115,Khudala Falna Station,19,"Moti Vas Ward No. 22 ,Khudala Falna"
116,Khudala Falna Station,1,"Juni Moila Vas Ward No. 20,Khudala Falna"
116,Khudala Falna Station,2,"Meghwal Dhani Road Ward No. 21 ,Khudala Falna"
116,Khudala Falna Station,3,"Hanuman Ji Ki Gali ,Ward No. 17 Khudala Falna Station"
116,Khudala Falna Station,4,"Samadhi Ke Pas ,Ward No. 17 Khudala Falna Station"
116,Khudala Falna Station,5,"Dhani Road , Ward No. 22 Khudala Falna Station"
116,Khudala Falna Station,6,"Nayi Basti ,Ward No. 20 Khudala Falna Station"
116,Khudala Falna Station,7,"Dhalava Ki Basti ,Ward No. 18 Khudala Falna Station"
116,Khudala Falna Station,8,"Shobhaji Ka Bas ,Ward No. 18 Khudala Falna Station"
116,Khudala Falna Station,9,"Badi Bas ,Ward No. 18 Khudala Falna Station"
116,Khudala Falna Station,10,"Moilon Ka Bas ,Ward No. 18 Khudala Falna Station"
116,Khudala Falna Station,11,"Nayi Abadi ,Ward No. 20 Khudala Falna Station"
116,Khudala Falna Station,12,"Bera Batava ,Ward No. 22 Khudala Falna"
116,Khudala Falna Station,13,"Mamaji Nadi ,Ward No. 22 Khudala Falna"
116,Khudala Falna Station,14,"Bera Mamava paj , Ward No. 22 Khudala Falna"
117,Khudala Falna Station,1,"Gadoliyo Ka Bas Ward No. 18 ,Khudala Falna Station"
117,Khudala Falna Station,2,"Bhadarva Jav Ward No. 20 ,Khudala Falna Station"
117,Khudala Falna Station,3,"Shanichar Ji Ki Gali Ward No. 20 ,Khudala Falna Station"
117,Khudala Falna Station,4,"Harijan Basti Ward No. 20 ,Khudala Falna Station"
117,Khudala Falna Station,5,"Bhadarava Jav ,Ward No. 20 Khudala Falna Station"
117,Khudala Falna Station,6,"Bhadarava Jav ,Ward No. 20 Khudala Falna Station"
118,Khudala Falna Station,1,"Govt. Hospital Parisar ,Ward No. 15 Khudala Falna"
118,Khudala Falna Station,2,"Hospital Ke Pichhe Vali Gali ,Ward No. 15 Khudala Falna"
118,Khudala Falna Station,3,"Pejage Ke Pichhe Vali Gali ,Ward No. 16 Khudala Falna"
118,Khudala Falna Station,4,"Chhipo Ka Bas ,Ward No. 16 Khudala Falna"
118,Khudala Falna Station,5,"Guli Vali Gali ,Ward No. 16 Khudala Falna"
118,Khudala Falna Station,6,"Chhipo Ka Bas ,Ward No.16 Khudala Falna"
118,Khudala Falna Station,7,"Gajanand Gali ,Ward No. 18 Khudala Falna"
118,Khudala Falna Station,8,"Bhilon Ka Bas Ward No. 20 ,Khudala Falna Station"
118,Khudala Falna Station,9,"Ramdev Ji Ka Vas Ward No. 21 ,Khudala Falna Station"
119,Khudala Falna Station,1,"Nagar Palika Ke Pas Ka Shetra Ward No. 14 ,Khudala-phalana"
119,Khudala Falna Station,2,"Ra.u.ma.v. Khudala Ke Pas ka Shetra Ward No. 14 ,Khudala-phalana"
119,Khudala Falna Station,3,"Sutharo Ka Vas Ward No. 16 ,Khudala-Falna"
119,Khudala Falna Station,4,"Men Road Khudala Ward No. 16 ,Khudala-Falna"
119,Khudala Falna Station,5,"Kumharon Ka Vas Ward No. 14 ,Khudala-Falna"
119,Khudala Falna Station,6,"Men Road Sargaron Ka Vas Ward No. 16 ,Khudala Falna"
119,Khudala Falna Station,7,"Sargaron Ka Vas Ward No. 16 ,Khudala Falna"
119,Khudala Falna Station,8,"Sargaron Ka Vas Ward No. 19 ,Khudala Falna"
119,Khudala Falna Station,9,"2-Sutharon Ka Vas Ward No. 16 ,Khudala Falna"
119,Khudala Falna Station,10,"Bera Kaita, Kanava, Ladaki, Dhalava, Dalada , Ward No. 14 Khudala Falna"
119,Khudala Falna Station,11,"SOLANKI COLONY, WARD NO. 15 KHUDALA-FALNA"
119,Khudala Falna Station,12,"HANUMAN COLONY, WARD NO. 15 KHUDALA-FALNA"
119,Khudala Falna Station,13,"NEHRU NAGAR WARD NO. 24,KHUDALA-FALNA"
119,Khudala Falna Station,14,"College Road Panvar Chhatravas Tak , Ward No. 12 Khudala Falna Station"
119,Khudala Falna Station,15,"Chourahe Ke Pas Vali Gali ,Ward No. 12 Khudala Falna Station"
119,Khudala Falna Station,16,"Sanderav Road Se Judi Gali ,Ward No. 23 Khudala Falna Station"
119,Khudala Falna Station,17,"Gajanand Ji Mandir Ki Gali , Ward No. 23 Khudala Falna Station"
119,Khudala Falna Station,18,"Petrol Pump Ki Gali , Ward No. 23 Khudala Falna Station"
120,Khudala Falna Station,1,"Hanuman Gali V Choudhari Hostel Tak , Ward No. 15 Khudala-phalana"
120,Khudala Falna Station,2,"Pejaga Vali Gali ,Ward No.16 Khudala Falna"
120,Khudala Falna Station,3,"Pejage Vali Gali, Dhani Road ,Ward No.18 Khudala Falna"
120,Khudala Falna Station,4,"Dhani Road ,Ward No.16 Khudala Falna"
120,Khudala Falna Station,5,"Pejage Ke Pichhe Vali Gali ,Ward No. 16 Khudala Falna"
120,Khudala Falna Station,6,"Ukanava Gali ,Ward No. 15 Khudala Falna"
120,Khudala Falna Station,7,"Rabariyo Ka Vas ,Ward No.19 Khudala Falna"
120,Khudala Falna Station,8,"Hospital Ke Samne Vali Gali ,Ward No.19 Khudala Falna"
120,Khudala Falna Station,9,"Hospital Ke Samne ,Ward No. 19 Khudala Falna"
120,Khudala Falna Station,10,"Men Road Bali ,Ward No. 19 Khudala Falna"
121,Khudala Falna Station,1,"Jain Mandir Ki Gali , Ward No. 23 Khudala Falna Station"
121,Khudala Falna Station,2,"Jain Bhojanashala Ki Gali , Ward No. 23 Khudala Falna Station"
121,Khudala Falna Station,3,"Magaraj Mehta Ki Gali , Ward No. 23 Khudala Falna Station"
121,Khudala Falna Station,4,"Dadabadi Ballabh Gali , Ward No. 23, 24 Khudala Falna Station"
121,Khudala Falna Station,5,"Panvar Chhatravas Road Ki Gali , Ward No. 23, 24 Khudala Falna Station"
121,Khudala Falna Station,6,"Lal Palace Ki Gali ,Ward No. 23 Khudala Falna Station"
121,Khudala Falna Station,7,"Kalakatta Chay Valo Ki Gali , Ward No. 23 Khudala Falna Station"
121,Khudala Falna Station,8,"Bhandari Sa Ki Gali ,Ward No. 23 Khudala Falna Station"
121,Khudala Falna Station,9,"Siroya Gali ,Ward No. 24 Khudala Falna Station"
121,Khudala Falna Station,10,"Janvat Raj Sancheti Ki Gali ,Ward No. 24 Khudala Falna Station"
121,Khudala Falna Station,11,"Malaji Ba Ara Chakki Ki Gali ,Ward No. 24 Khudala Falna Station"
121,Khudala Falna Station,12,"Keshariyaji Ki Gali ,Ward No. 24 Khudala Falna Station"
121,Khudala Falna Station,13,"Garg Colony ,Ward No. 24 Khudala Falna Station"
121,Khudala Falna Station,14,"Do Kunon Ka Rasta Kajalava V Nivala Arath ,Ward No. 24 Khudala Falna Station"
121,Khudala Falna Station,15,"ARIHANT NAGAR, WARD NO. 24 KHUDALA-FALNA"
121,Khudala Falna Station,16,"S.b.ai. Ke Samne Se Jain Dharmshala Tak Ward No. 23 ,Khudala Falna"
121,Khudala Falna Station,17,"S.b.ai. Ke Pichhe Ward No. 23 ,Khudala Falna"
121,Khudala Falna Station,18,"Surana Printars Ki Gali Ward No. 23 ,Khudala Falna"
121,Khudala Falna Station,19,"S.b.ai. Ke Pas Ki Gali Ward No. 23 ,Khudala Falna"
122,Khudala Falna Station,1,"Vijay Nagar Ward No. 1, 25 ,Khudala Falna Station"
122,Khudala Falna Station,2,"Shastri Nagar Ward No. 1 ,Khudala Falna Station"
122,Khudala Falna Station,3,"Shastri Nagar Sanderav Road Ward No. 1 ,Khudala Falna Station"
122,Khudala Falna Station,4,"Jadari Road Odhogik Shetra Ward No. 3 ,Khudala Falna Station"
122,Khudala Falna Station,5,"MARUDHAR NAGAR, WARD NO. 2 KHUDALA-FALNA"
122,Khudala Falna Station,6,"Khalsa Gairaj Ki Pichhe Evan Jain Mandir Ward No. 1, 25 ,Khudala Falna Station"
123,Khudala Falna Station,1,"SHIVAJI NAGAR KACHCHHI BASTI, Ward No. 3 FALNA"
123,Khudala Falna Station,2,"Sagar Colony-1 , Ward No. 25 Khudala Falna Station"
123,Khudala Falna Station,3,"Sagar Colony-2, Ward No. 23 Khudala Falna Station"
123,Khudala Falna Station,4,"Khalsa Takij Ke Pichhe , Ward No. 25 Khudala Falna Station"
123,Khudala Falna Station,5,"SHIVAJI NAGAR , WARD NO. 3 KHUDALA-FALNA"
123,Khudala Falna Station,6,"PARSHAV PADMAVAT NAGAR, WARD NO. 2 KHUDALA-FALNA"
123,Khudala Falna Station,7,"Kajarava , Ward No. 25 Khudala-Falna"
123,Khudala Falna Station,8,"Sagar Colony-3, Ward No. 25 Khudala Falna Station"
123,Khudala Falna Station,9,"Sagar Colony-4, Ward No. 25 Khudala Falna Station"
123,Khudala Falna Station,10,Ward No. 25 Khudala-Falna
124,Khudala Falna Station,1,"Sanderav Road Se Dudh Deri Tak Ward No. 2 ,Khudala Falna Station"
124,Khudala Falna Station,2,"Sanderav Road Se Dudh Deri Tak Ward No. 2 ,Khudala Falna Station"
124,Khudala Falna Station,3,"SHAKTI NAGAR, WARD NO. 2 KHUDALA-FALNA"
124,Khudala Falna Station,4,"Jadari Road , Ward No. 2,3 Khudala Falna Station"
124,Khudala Falna Station,5,"VIJAY NAGAR, WARD NO. 1, 25 KHUDALA-FALNA"
124,Khudala Falna Station,6,"Pani Ki Tanki Road , Ward No. 25 Khudala-Falna"
124,Khudala Falna Station,7,"Rly. Station Ke Pichhe , Ward No. 25 Khudala-Falna"
124,Khudala Falna Station,8,"School Ke Pichhe Ka Bhag Ward No. 14, 17 Khudala Falna"
124,Khudala Falna Station,9,"Shanishchar Mandir Ki Gali Ward No. 20 ,Khudala Falna"
125,Khudala Falna Station,1,"Bayosa Ki Gali Ward No. 16 ,Khudala Falna"
125,Khudala Falna Station,2,"Ramdev Ji Ki Gali Ward No. 16 ,Khudala Falna"
125,Khudala Falna Station,3,"Raghunath Ji Kutiya Ke Pas Ward No. 7 ,Khudala Falna"
125,Khudala Falna Station,4,"Rajput Gali Ward No. 6 ,Khudala Falna"
125,Khudala Falna Station,5,"School Ke Samne Ka Bhag Ward No. 6 ,Khudala Falna"
125,Khudala Falna Station,6,"SULTAN SAGAR WARD NO. 5 ,KHUDALA-FALNA"
125,Khudala Falna Station,7,"PRATAP NAGAR WARD NO. 7 ,KHUDALA-FALNA"
125,Khudala Falna Station,8,"RAM NAGAR, WARD NO. 4 KHUDALA-FALNA"
126,Khudala Falna Station,1,"Samudayik Bhawan Ward No. 7 ,Khudala Falna"
126,Khudala Falna Station,2,"Madarasa Ke Pas Ward No. 4 ,Khudala Falna"
126,Khudala Falna Station,3,"Harijan Gali Ward No. 4 ,Khudala Falna"
126,Khudala Falna Station,4,"Chakki Gali Ward No. 7 ,Khudala Falna"
126,Khudala Falna Station,5,"Khara Nala Ke Pas, Hanuman Ji Ki Gali Ward No. 7 ,Khudala Falna"
126,Khudala Falna Station,6,"Khara Nala Ke Pas, Hanuman Ji Ki Gali Ward No. 7 ,Khudala Falna"
127,Khudala Falna Station,1,"Indira Colony, Rly. Line Ke Pas Ward No. 4 ,Khudala-Falna"
127,Khudala Falna Station,2,"Jayakishan Ji Ki Gali Railway Line Ke Pas Ward No. 8 ,Khudala Falna"
127,Khudala Falna Station,3,"Bedal Road Ward No. 7 ,Khudala Falna"
127,Khudala Falna Station,4,"Bedal Road Ward No. 7 ,Khudala Falna"
127,Khudala Falna Station,5,"Mahadev Gali Ward No. 9 ,Khudala Falna"
127,Khudala Falna Station,6,"Station Road Ward No. 10 ,Khudala Falna"
128,Khudala Falna Station,1,"Shitala Mata Ki Gali Ward No. 3 ,Khudala Falna"
128,Khudala Falna Station,2,"Rly. Colony Ward No. 9 ,Khudala Falna"
128,Khudala Falna Station,3,"Shitala Mata Gali Ward No. 9 ,Khudala Falna"
128,Khudala Falna Station,4,"Shitala Mata Gali Ward No. 9 ,Khudala Falna"
128,Khudala Falna Station,5,"Gurjar Colony Railway Bagiche Ke Pas Ward No. 8 ,Khudala Falna"
128,Khudala Falna Station,6,"RAILWAY COLONY WARD NO. 3 ,KHUDALA-FALNA"
128,Khudala Falna Station,7,"Sanderav Road Ward No. 2 ,Khudala Falna"
128,Khudala Falna Station,8,"Masjid Ki Gali Ward No. 10 ,Khudala Falna"
128,Khudala Falna Station,9,"Railway Station Nala, Dakaghar Ward No. 10 ,Khudala Falna"
129,Khudala Falna Station,1,"Mahadev Gali Ward No. 9 ,Khudala Falna"
129,Khudala Falna Station,2,"Mahadev Gali Ward No. 9 ,Khudala Falna"
129,Khudala Falna Station,3,"Ra.u.pra.v. Ke Pas Ward No. 6 ,Khudala Falna"
130,Khudala Falna Station,1,"Subhash Road , Ward No. 12 Khudala Falna Station"
130,Khudala Falna Station,2,"Kumavat Floor Mil , Ward No. 12 Khudala Falna Station"
130,Khudala Falna Station,3,"Subhash Road Ke Pichhe ,Ward No. 12 Khudala Falna Station"
130,Khudala Falna Station,4,"College Char Divari Ke Pas ,Ward No. 15 Khudala Falna Station"
130,Khudala Falna Station,5,"Shripal Nagar ,Ward No. 12 Khudala Falna Station"
130,Khudala Falna Station,6,"Vyas Hospital ,Ward No. 12 Khudala Falna Station"
130,Khudala Falna Station,7,"Main Bazar Bali Road ,Ward No. 23 Khudala Falna Station"
130,Khudala Falna Station,8,"Subhash Road , Ward No. 12 Khudala Falna Station"
130,Khudala Falna Station,9,"Main Bazar Chouraya , Ward No. 23 Khudala Falna Station"
130,Khudala Falna Station,10,"Bedal Road ,Ward No. 7 Khudala Falna Station"
130,Khudala Falna Station,11,"Roadways Workshop ,Ward No. 19 Khudala Falna Station"
130,Khudala Falna Station,12,"Kumharon Ka Jav ,Ward No. 13 Khudala Falna Station"
131,Khudala Falna Station,1,"Bhatavada ,Ward No. 13 Khudala Falna Station"
131,Khudala Falna Station,2,"Kumharon Ka Jav-1 ,Ward No. 13 Khudala Falna Station"
131,Khudala Falna Station,3,"Subhash Road ,Ward No. 12 Khudala Falna Station"
131,Khudala Falna Station,4,"Kumharon Ka Jav-2 ,Ward No. 13 Khudala Falna Station"
131,Khudala Falna Station,5,"Saraswati School Ke Pas ,Ward No. 7 Khudala Falna Station"
131,Khudala Falna Station,6,"College Char Divari Ke Pas ,Ward No. 18 Khudala Falna Station"
131,Khudala Falna Station,7,"College Char Divari Ke Pas ,Ward No. 15 Khudala Falna Station"
131,Khudala Falna Station,8,"Meghwal Chhatravas Ke Pas ,Ward No. 13 Khudala Falna Station"
131,Khudala Falna Station,9,"Purohit Chhatravas Ke Pas ,Ward No. 15 Khudala Falna Station"
131,Khudala Falna Station,10,"Bhatavada ,Ward No. 13 Khudala Falna Station"
131,Khudala Falna Station,11,"AREA OF SHREE RAM NAGAR WARD NO. 15 ,KHUDALA-FALNA"
131,Khudala Falna Station,12,"SWASTIK NAGAR WARD NO. 15 ,KHUDALA-FALNA"
132,Falna Gaon,1,"Rebariyo Ka Vas ,Falna Gaon"
132,Falna Gaon,2,"Mataji Ki Gali ,Falna Gaon"
132,Falna Gaon,3,"Ravana Rajputon Ka Vas (dhani Se Talab Tak) ,Falna Gaon"
132,Falna Gaon,4,"Choudhariyon Ka Vas ,Falna Gaon"
132,Falna Gaon,5,"Meghavalo Ka Vas ,Falna Gaon"
132,Falna Gaon,6,"Dhibada ,Falna Gaon"
132,Falna Gaon,7,"Madavada Vas ,Falna Gaon"
132,Falna Gaon,8,"Riya Vas ,Falna Gaon"
133,Falna Gaon,1,"Meghwalon Ka Vas-2 ,Falna Gaon"
133,Falna Gaon,2,"Chouhata Gajanan Chowk ,Falna Gaon"
133,Falna Gaon,3,"Maliyo Ka Vas ,Falna Gaon"
133,Falna Gaon,4,"Choudhariyo Ka Vas ,Falna Gaon"
133,Falna Gaon,5,"Ravla Jane Ka Rasta-1 ,Falna Gaon"
133,Falna Gaon,6,"Nimada Gali Ravana Rajputon Ka Vas ,Falna Gaon"
133,Falna Gaon,7,"Pipaliya Vera Jane Ka Rasta ,Falna Gaon"
133,Falna Gaon,8,"Oganava Gali ,Falna Gaon"
133,Falna Gaon,9,"Ravla Jane Ka Rasta-2 ,Falna Gaon"
133,Falna Gaon,10,"Bhato Ka Vas ,Falna Gaon"
